ID,UpgradeType,Level,IconID,Price,IncreaseStat,Stat
401000,Attack,0,940001,5000,5,0
401001,Attack,1,940001,6000,5,5
401002,Attack,2,940001,7000,5,10
401003,Attack,3,940001,8000,5,15
401004,Attack,4,940001,9000,5,20
401005,Attack,5,940001,10000,5,25
401006,Attack,6,940001,11000,5,30
401007,Attack,7,940001,12000,5,35
401008,Attack,8,940001,13000,5,40
401009,Attack,9,940001,14000,5,45
401010,Attack,10,940001,15000,5,50
401011,Attack,11,940001,16000,5,55
401012,Attack,12,940001,17000,5,60
401013,Attack,13,940001,18000,5,65
401014,Attack,14,940001,19000,5,70
401015,Attack,15,940001,20000,5,75
401016,Attack,16,940001,21000,5,80
401017,Attack,17,940001,22000,5,85
401018,Attack,18,940001,23000,5,90
401019,Attack,19,940001,24000,5,95
401020,Attack,20,940001,25000,5,100
401021,Attack,21,940001,26000,5,105
401022,Attack,22,940001,27000,5,110
401023,Attack,23,940001,28000,5,115
401024,Attack,24,940001,29000,5,120
401025,Attack,25,940001,30000,5,125
401026,Attack,26,940001,31000,5,130
401027,Attack,27,940001,32000,5,135
401028,Attack,28,940001,33000,5,140
401029,Attack,29,940001,34000,5,145
401030,Attack,30,940001,35000,5,150
401031,Attack,31,940001,36000,5,155
401032,Attack,32,940001,37000,5,160
401033,Attack,33,940001,38000,5,165
401034,Attack,34,940001,39000,5,170
401035,Attack,35,940001,40000,5,175
401036,Attack,36,940001,41000,5,180
401037,Attack,37,940001,42000,5,185
401038,Attack,38,940001,43000,5,190
401039,Attack,39,940001,44000,5,195
401040,Attack,40,940001,45000,5,200
401041,Attack,41,940001,46000,5,205
401042,Attack,42,940001,47000,5,210
401043,Attack,43,940001,48000,5,215
401044,Attack,44,940001,49000,5,220
401045,Attack,45,940001,50000,5,225
401046,Attack,46,940001,51000,5,230
401047,Attack,47,940001,52000,5,235
401048,Attack,48,940001,53000,5,240
401049,Attack,49,940001,54000,5,245
401050,Attack,50,940001,55000,5,250
401051,Attack,51,940001,56000,5,255
401052,Attack,52,940001,57000,5,260
401053,Attack,53,940001,58000,5,265
401054,Attack,54,940001,59000,5,270
401055,Attack,55,940001,60000,5,275
401056,Attack,56,940001,61000,5,280
401057,Attack,57,940001,62000,5,285
401058,Attack,58,940001,63000,5,290
401059,Attack,59,940001,64000,5,295
401060,Attack,60,940001,65000,5,300
401061,Attack,61,940001,66000,5,305
401062,Attack,62,940001,67000,5,310
401063,Attack,63,940001,68000,5,315
401064,Attack,64,940001,69000,5,320
401065,Attack,65,940001,70000,5,325
401066,Attack,66,940001,71000,5,330
